ALDM_Entity,ALDM_Attribute,ALDM_DataType,ALDM_Description,MySQL_Table,MySQL_Column,MySQL_DataType,MySQL_Description,Mapping_Type,Mapping_Notes
PartyLocation,data_quality_score,decimal,"Calculated data quality score from 0-100",party_location,data_quality_score,DECIMAL(5,2),"Calculated data quality score from 0-100",Direct,"Exact mapping with MySQL DECIMAL type"
PartyLocation,confidence_score,decimal,"Confidence level in the correctness of this record",party_location,confidence_score,DECIMAL(5,2),"Confidence level in the correctness of this record",Direct,"Exact mapping with MySQL DECIMAL type"
PartyLocation,last_verified_date,date,"Date when this record was last verified",party_location,last_verified_date,DATE,"Date when this record was last verified",Direct,"Exact mapping with MySQL DATE type"
PartyLocation,data_steward_id,string,"ID of the data steward responsible for this location",party_location,data_steward_id,VARCHAR(100),"ID of the data steward responsible for this location",Direct,"Exact mapping with MySQL VARCHAR type"
PartyLocation,created_at,datetime,"Date and time when this record was created",party_location,created_at,TIMESTAMP,"Date and time when this record was created",Direct,"ALDM datetime mapped to MySQL TIMESTAMP"
PartyLocation,created_by,string,"User who created this record",party_location,created_by,VARCHAR(100),"User who created this record",Direct,"Exact mapping with MySQL VARCHAR type"
PartyLocation,updated_at,datetime,"Date and time when this record was last updated",party_location,updated_at,TIMESTAMP,"Date and time when this record was last updated",Direct,"ALDM datetime mapped to MySQL TIMESTAMP"
PartyLocation,updated_by,string,"User who last updated this record",party_location,updated_by,VARCHAR(100),"User who last updated this record",Direct,"Exact mapping with MySQL VARCHAR type"
PartyLocation,deleted_at,datetime,"Date and time when this record was marked as deleted",party_location,deleted_at,TIMESTAMP,"Date and time when this record was marked as deleted",Direct,"ALDM datetime mapped to MySQL TIMESTAMP"
ContactPoint,party_id,string,"Foreign key to the Party entity",contact_point,party_id,VARCHAR(36),"Foreign key to the Party entity",Direct,"Primary key mapping with UUID implementation"
ContactPoint,contact_type,string,"Type of contact",contact_point,contact_type,ENUM('Phone', 'Email', 'SocialMedia', 'Other'),"Type of contact",Direct,"ALDM string mapped to MySQL ENUM for data validation"
ContactPoint,contact_value,string,"Value of the contact",contact_point,contact_value,VARCHAR(255),"Value of the contact",Direct,"Exact mapping with MySQL VARCHAR type"
ContactPoint,data_source_system,string,"System where this contact data originated",contact_point,data_source_system,VARCHAR(100),"System where this contact data originated",Direct,"Exact mapping with MySQL VARCHAR type"
ContactPoint,data_source_id,string,"ID of this contact in the source system",contact_point,data_source_id,VARCHAR(100),"ID of this contact in the source system",Direct,"Exact mapping with MySQL VARCHAR type"
ContactPoint,is_golden_record,boolean,"Flag indicating if this is the golden record",contact_point,is_golden_record,BOOLEAN,"Flag indicating if this is the golden record",Direct,"Exact mapping with MySQL BOOLEAN type"
ContactPoint,data_quality_score,decimal,"Calculated data quality score from 0-100",contact_point,data_quality_score,DECIMAL(5,2),"Calculated data quality score from 0-100",Direct,"Exact mapping with MySQL DECIMAL type"
ContactPoint,confidence_score,decimal,"Confidence level in the correctness of this record",contact_point,confidence_score,DECIMAL(5,2),"Confidence level in the correctness of this record",Direct,"Exact mapping with MySQL DECIMAL type"
ContactPoint,last_verified_date,date,"Date when this record was last verified",contact_point,last_verified_date,DATE,"Date when this record was last verified",Direct,"Exact mapping with MySQL DATE type"
ContactPoint,data_steward_id,string,"ID of the data steward responsible for this contact",contact_point,data_steward_id,VARCHAR(100),"ID of the data steward responsible for this contact",Direct,"Exact mapping with MySQL VARCHAR type"
ContactPoint,created_at,datetime,"Date and time when this record was created",contact_point,created_at,TIMESTAMP,"Date and time when this record was created",Direct,"ALDM datetime mapped to MySQL TIMESTAMP"
ContactPoint,created_by,string,"User who created this record",contact_point,created_by,VARCHAR(100),"User who created this record",Direct,"Exact mapping with MySQL VARCHAR type"
ContactPoint,updated_at,datetime,"Date and time when this record was last updated",contact_point,updated_at,TIMESTAMP,"Date and time when this record was last updated",Direct,"ALDM datetime mapped to MySQL TIMESTAMP"
ContactPoint,updated_by,string,"User who last updated this record",contact_point,updated_by,VARCHAR(100),"User who last updated this record",Direct,"Exact mapping with MySQL VARCHAR type"
ContactPoint,deleted_at,datetime,"Date and time when this record was marked as deleted",contact_point,deleted_at,TIMESTAMP,"Date and time when this record was marked as deleted",Direct,"ALDM datetime mapped to MySQL TIMESTAMP"
PartyRelationship,party_id,string,"Foreign key to the Party entity",party_relationship,party_id,VARCHAR(36),"Foreign key to the Party entity",Direct,"Primary key mapping with UUID implementation"
PartyRelationship,related_party_id,string,"Foreign key to the related Party entity",party_relationship,related_party_id,VARCHAR(36),"Foreign key to the related Party entity",Direct,"Primary key mapping with UUID implementation"
PartyRelationship,relationship_type,string,"Type of relationship",party_relationship,relationship_type,ENUM('Customer', 'Supplier', 'Partner', 'Other'),"Type of relationship",Direct,"ALDM string mapped to MySQL ENUM for data validation"
PartyRelationship,data_source_system,string,"System where this relationship data originated",party_relationship,data_source_system,VARCHAR(100),"System where this relationship data originated",Direct,"Exact mapping with MySQL VARCHAR type"
PartyRelationship,data_source_id,string,"ID of this relationship in the source system",party_relationship,data_source_id,VARCHAR(100),"ID of this relationship in the source system",Direct,"Exact mapping with MySQL VARCHAR type"
PartyRelationship,is_golden_record,boolean,"Flag indicating if this is the golden record",party_relationship,is_golden_record,BOOLEAN,"Flag indicating if this is the golden record",Direct,"Exact mapping with MySQL BOOLEAN type"
PartyRelationship,data_quality_score,decimal,"Calculated data quality score from 0-100",party_relationship,data_quality_score,DECIMAL(5,2),"Calculated data quality score from 0-100",Direct,"Exact mapping with MySQL DECIMAL type"
PartyRelationship,confidence_score,decimal,"Confidence level in the correctness of this record",party_relationship,confidence_score,DECIMAL(5,2),"Confidence level in the correctness of this record",Direct,"Exact mapping with MySQL DECIMAL type"
PartyRelationship,last_verified_date,date,"Date when this record was last verified",party_relationship,last_verified_date,DATE,"Date when this record was last verified",Direct,"Exact mapping with MySQL DATE type"
PartyRelationship,data_steward_id,string,"ID of the data steward responsible for this relationship",party_relationship,data_steward_id,VARCHAR(100),"ID of the data steward responsible for this relationship",Direct,"Exact mapping with MySQL VARCHAR type"
PartyRelationship,created_at,datetime,"Date and time when this record was created",party_relationship,created_at,TIMESTAMP,"Date and time when this record was created",Direct,"ALDM datetime mapped to MySQL TIMESTAMP"
PartyRelationship,created_by,string,"User who created this record",party_relationship,created_by,VARCHAR(100),"User who created this record",Direct,"Exact mapping with MySQL VARCHAR type"
PartyRelationship,updated_at,datetime,"Date and time when this record was last updated",party_relationship,updated_at,TIMESTAMP,"Date and time when this record was last updated",Direct,"ALDM datetime mapped to MySQL TIMESTAMP"
PartyRelationship,updated_by,string,"User who last updated this record",party_relationship,updated_by,VARCHAR(100),"User who last updated this record",Direct,"Exact mapping with MySQL VARCHAR type"
PartyRelationship,deleted_at,datetime,"Date and time when this record was marked as deleted",party_relationship,deleted_at,TIMESTAMP,"Date and time when this record was marked as deleted",Direct,"ALDM datetime mapped to MySQL TIMESTAMP"
PersonProfile,person_profile_id,string,"Unique identifier for this profile",person_profile,person_profile_id,BIGINT,"Unique identifier for this profile",Direct,"ALDM string mapped to MySQL BIGINT with auto-increment"
PersonProfile,party_id,string,"Foreign key to the Party entity",person_profile,party_id,VARCHAR(36),"Foreign key to the Party entity",Direct,"Primary key mapping with UUID implementation"
PersonProfile,political_exposure_type,string,"Type of political exposure",person_profile,political_exposure_type,ENUM('Foreign', 'Domestic', 'None'),"Type of political exposure",Direct,"ALDM string mapped to MySQL ENUM for data validation"
PersonProfile,political_exposure_description,string,"Description of the political exposure",person_profile,political_exposure_description,TEXT,"Description of the political exposure",Direct,"ALDM string mapped to MySQL TEXT for longer descriptions"
PersonProfile,education_level,string,"Highest level of education",person_profile,education_level,VARCHAR(100),"Highest level of education",Direct,"Exact mapping with MySQL VARCHAR type"
PersonProfile,profession,string,"Current profession",person_profile,profession,VARCHAR(100),"Current profession",Direct,"Exact mapping with MySQL VARCHAR type"
PersonProfile,income_range,string,"Income range",person_profile,income_range,VARCHAR(100),"Income range",Direct,"Exact mapping with MySQL VARCHAR type"
PersonProfile,wealth_source,string,"Source of wealth",person_profile,wealth_source,VARCHAR(100),"Source of wealth",Direct,"Exact mapping with MySQL VARCHAR type"
PersonProfile,employment_status,string,"Current employment status",person_profile,employment_status,ENUM('Employed', 'Unemployed', 'Self-Employed', 'Retired', 'Student', 'Other'),"Current employment status",Direct,"ALDM string mapped to MySQL ENUM for data validation"
PersonProfile,employer_name,string,"Name of the employer",person_profile,employer_name,VARCHAR(255),"Name of the employer",Direct,"Exact mapping with MySQL VARCHAR type"
PersonProfile,job_title,string,"Job title",person_profile,job_title,VARCHAR(100),"Job title",Direct,"Exact mapping with MySQL VARCHAR type"
PersonProfile,family_size,integer,"Number of family members",person_profile,family_size,INT,"Number of family members",Direct,"ALDM integer mapped to MySQL INT"
PersonProfile,created_at,datetime,"Date and time when this record was created",person_profile,created_at,TIMESTAMP,"Date and time when this record was created",Direct,"ALDM datetime mapped to MySQL TIMESTAMP"
PersonProfile,updated_at,datetime,"Date and time when this record was last updated",person_profile,updated_at,TIMESTAMP,"Date and time when this record was last updated",Direct,"ALDM datetime mapped to MySQL TIMESTAMP"
PersonProfile,deleted_at,datetime,"Date and time when this record was marked as deleted",person_profile,deleted_at,TIMESTAMP,"Date and time when this record was marked as deleted",Direct,"ALDM datetime mapped to MySQL TIMESTAMP"
PartyDirectoryReference,party_directory_reference_id,string,"Unique identifier for this reference",party_directory_reference,party_directory_reference_id,BIGINT,"Unique identifier for this reference",Direct,"ALDM string mapped to MySQL BIGINT with auto-increment"
PartyDirectoryReference,party_id,string,"Foreign key to the Party entity",party_directory_reference,party_id,VARCHAR(36),"Foreign key to the Party entity",Direct,"Primary key mapping with UUID implementation"
PartyDirectoryReference,directory_name,string,"Name of the external directory",party_directory_reference,directory_name,VARCHAR(100),"Name of the external directory",Direct,"Exact mapping with MySQL VARCHAR type"
PartyDirectoryReference,directory_entry_id,string,"ID of the party in the external directory",party_directory_reference,directory_entry_id,VARCHAR(255),"ID of the party in the external directory",Direct,"Exact mapping with MySQL VARCHAR type"
PartyDirectoryReference,directory_entry_type,string,"Type of entry in the directory",party_directory_reference,directory_entry_type,VARCHAR(100),"Type of entry in the directory",Direct,"Exact mapping with MySQL VARCHAR type"
PartyDirectoryReference,directory_entry_date,date,"Date of the entry in the directory",party_directory_reference,directory_entry_date,DATE,"Date of the entry in the directory",Direct,"Exact mapping with MySQL DATE type"
PartyDirectoryReference,directory_valid_period,string,"Period for which the directory entry is valid",party_directory_reference,directory_valid_period,VARCHAR(100),"Period for which the directory entry is valid",Direct,"Exact mapping with MySQL VARCHAR type"
PartyDirectoryReference,is_verified,boolean,"Flag indicating if this reference has been verified",party_directory_reference,is_verified,BOOLEAN,"Flag indicating if this reference has been verified",Direct,"Exact mapping with MySQL BOOLEAN type"
PartyDirectoryReference,verification_date,date,"Date when this reference was verified",party_directory_reference,verification_date,DATE,"Date when this reference was verified",Direct,"Exact mapping with MySQL DATE type"
PartyDirectoryReference,verification_method,string,"Method used to verify this reference",party_directory_reference,verification_method,VARCHAR(100),"Method used to verify this reference",Direct,"Exact mapping with MySQL VARCHAR type"
PartyDirectoryReference,created_at,datetime,"Date and time when this record was created",party_directory_reference,created_at,TIMESTAMP,"Date and time when this record was created",Direct,"ALDM datetime mapped to MySQL TIMESTAMP"
PartyDirectoryReference,updated_at,datetime,"Date and time when this record was last updated",party_directory_reference,updated_at,TIMESTAMP,"Date and time when this record was last updated",Direct,"ALDM datetime mapped to MySQL TIMESTAMP"
PartyDirectoryReference,deleted_at,datetime,"Date and time when this record was marked as deleted",party_directory_reference,deleted_at,TIMESTAMP,"Date and time when this record was marked as deleted",Direct,"ALDM datetime mapped to MySQL TIMESTAMP"
PartyMergeHistory,party_merge_id,string,"Unique identifier for this merge record",party_merge_history,party_merge_id,BIGINT,"Unique identifier for this merge record",Direct,"ALDM string mapped to MySQL BIGINT with auto-increment"
PartyMergeHistory,survivor_party_id,string,"ID of the surviving party",party_merge_history,survivor_party_id,VARCHAR(36),"ID of the surviving party",Direct,"Primary key mapping with UUID implementation"
PartyMergeHistory,merged_party_id,string,"ID of the merged party",party_merge_history,merged_party_id,VARCHAR(36),"ID of the merged party",Direct,"Primary key mapping with UUID implementation"
PartyMergeHistory,merge_date,datetime,"Date and time when the merge occurred",party_merge_history,merge_date,DATETIME,"Date and time when the merge occurred",Direct,"ALDM datetime mapped to MySQL DATETIME"
PartyMergeHistory,merge_reason,string,"Reason for the merge",party_merge_history,merge_reason,TEXT,"Reason for the merge",Direct,"ALDM string mapped to MySQL TEXT for longer descriptions"
PartyMergeHistory,merge_score,decimal,"Confidence score for the merge",party_merge_history,merge_score,DECIMAL(5,2),"Confidence score for the merge",Direct,"Exact mapping with MySQL DECIMAL type"
PartyMergeHistory,merge_rule,string,"Rule used for the merge",party_merge_history,merge_rule,VARCHAR(100),"Rule used for the merge",Direct,"Exact mapping with MySQL VARCHAR type"
PartyMergeHistory,approved_by,string,"User who approved the merge",party_merge_history,approved_by,VARCHAR(100),"User who approved the merge",Direct,"Exact mapping with MySQL VARCHAR type"
PartyMergeHistory,approval_date,datetime,"Date and time when the merge was approved",party_merge_history,approval_date,DATETIME,"Date and time when the merge was approved",Direct,"ALDM datetime mapped to MySQL DATETIME"
PartyMergeHistory,merged_record_json,json,"JSON representation of the merged record",party_merge_history,merged_record_json,JSON,"JSON representation of the merged record",Direct,"Exact mapping with MySQL JSON type"
PartyMergeHistory,status,string,"Current status of the merge",party_merge_history,status,ENUM('Pending', 'Approved', 'Rejected', 'Undone'),"Current status of the merge",Direct,"ALDM string mapped to MySQL ENUM for data validation"
PartyMergeHistory,created_at,datetime,"Date and time when this record was created",party_merge_history,created_at,TIMESTAMP,"Date and time when this record was created",Direct,"ALDM datetime mapped to MySQL TIMESTAMP"
PartyMergeHistory,created_by,string,"User who created this record",party_merge_history,created_by,VARCHAR(100),"User who created this record",Direct,"Exact mapping with MySQL VARCHAR type"
PartyMatchRule,match_rule_id,string,"Unique identifier for this match rule",party_match_rule,match_rule_id,BIGINT,"Unique identifier for this match rule",Direct,"ALDM string mapped to MySQL BIGINT with auto-increment"
PartyMatchRule,rule_name,string,"Name of the match rule",party_match_rule,rule_name,VARCHAR(100),"Name of the match rule",Direct,"Exact mapping with MySQL VARCHAR type"
PartyMatchRule,rule_description,string,"Description of the match rule",party_match_rule,rule_description,TEXT,"Description of the match rule",Direct,"ALDM string mapped to MySQL TEXT for longer descriptions"
PartyMatchRule,rule_type,string,"Type of match rule",party_match_rule,rule_type,ENUM('Exact', 'Fuzzy', 'Deterministic', 'Probabilistic', 'Hybrid'),"Type of match rule",Direct,"ALDM string mapped to MySQL ENUM for data validation"
PartyMatchRule,rule_definition,json,"Definition of the match rule in JSON format",party_match_rule,rule_definition,JSON,"Definition of the match rule in JSON format",Direct,"Exact mapping with MySQL JSON type"
PartyMatchRule,threshold,decimal,"Threshold for considering a match",party_match_rule,threshold,DECIMAL(5,2),"Threshold for considering a match",Direct,"Exact mapping with MySQL DECIMAL type"
PartyMatchRule,priority,integer,"Priority of this rule in the matching hierarchy",party_match_rule,priority,INT,"Priority of this rule in the matching hierarchy",Direct,"ALDM integer mapped to MySQL INT"
PartyMatchRule,party_type,string,"Type of party this rule applies to",party_match_rule,party_type,ENUM('Person', 'Organization', 'Both'),"Type of party this rule applies to",Direct,"ALDM string mapped to MySQL ENUM for data validation"
PartyMatchRule,is_active,boolean,"Flag indicating if this rule is active",party_match_rule,is_active,BOOLEAN,"Flag indicating if this rule is active",Direct,"Exact mapping with MySQL BOOLEAN type"
PartyMatchRule,created_at,datetime,"Date and time when this record was created",party_match_rule,created_at,TIMESTAMP,"Date and time when this record was created",Direct,"ALDM datetime mapped to MySQL TIMESTAMP"
PartyMatchRule,updated_at,datetime,"Date and time when this record was last updated",party_match_rule,updated_at,TIMESTAMP,"Date and time when this record was last updated",Direct,"ALDM datetime mapped to MySQL TIMESTAMP"
